date,mac_score,liquidity,valuation,positioning,volatility,policy,contagion,private_credit,interpretation,crisis_event,data_quality,momentum_1w,momentum_4w,trend_direction,mac_status,is_deteriorating
1998-08-01,0.6255215419501133,0.23499999999999985,0.7136507936507938,0.5,0.84,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,,,unknown,CAUTIOUS,False
1998-08-08,0.6101655328798187,0.18500000000000008,0.7301587301587302,0.5,0.766,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,fair,-0.015356009070294663,,stable,CAUTIOUS,False
1998-08-15,0.5839251700680272,0.21500000000000027,0.7604761904761904,0.5,0.5219999999999999,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,fair,-0.02624036281179143,,declining,CAUTIOUS,False
1998-08-22,0.5944495464852607,0.20999999999999996,0.7991468253968254,0.5,0.5619999999999999,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,0.010524376417233472,-0.03107199546485262,declining,CAUTIOUS,False
1998-08-29,0.5641765306122448,0.14999999999999994,0.8625690476190476,0.5,0.3466666666666666,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,-0.030273015873015896,-0.061345011337868516,declining,DETERIORATING,True
1998-09-05,0.5270986394557823,0.165,0.9216904761904762,0.5,0.22299999999999992,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,-0.03707789115646254,-0.08306689342403639,declining,DETERIORATING,True
1998-09-12,0.527860544217687,0.20000000000000018,0.9063571428571429,0.5,0.2086666666666666,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,0.0007619047619047414,-0.05606462585034022,declining,DETERIORATING,True
1998-09-19,0.5674989795918367,0.105,0.8984928571428572,0.5,0.3789999999999999,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,0.03963843537414968,-0.02695056689342401,stable,CAUTIOUS,False
1998-09-26,0.5870887755102041,0.105,0.8996214285714285,0.5,0.5150000000000001,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,0.019589795918367403,0.02291224489795929,stable,CAUTIOUS,False
1998-10-03,0.5385812925170068,0.02,0.902402380952381,0.5,0.3176666666666667,1.0,0.5,0.5299999999999999,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,-0.04850748299319729,0.011482653061224535,stable,CAUTIOUS,False
1998-10-10,0.5043380952380951,0.0,0.9503666666666667,0.5,0.2599999999999999,1.0,0.5,0.5299999999999999,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,-0.034243197278911675,-0.02352244897959188,stable,CAUTIOUS,False
1998-10-17,0.5688034013605442,0.0,0.9456238095238095,0.5,0.506,1.0,0.5,0.5299999999999999,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,0.06446530612244905,0.0013044217687074866,stable,CAUTIOUS,False
1998-10-24,0.5819115646258504,0.0,0.9523809523809524,0.5,0.5909999999999999,1.0,0.5,0.5299999999999999,"THIN - Limited buffer, elevated transmission risk",Russian Default / LTCM Crisis,fair,0.013108163265306172,-0.0051772108843537445,stable,CAUTIOUS,False
1998-10-31,0.6158149659863946,0.09000000000000029,0.9590380952380952,0.5,0.7316666666666667,1.0,0.5,0.5299999999999999,COMFORTABLE - Markets can absorb moderate shocks,Russian Default / LTCM Crisis,fair,0.03390340136054426,0.07723367346938781,improving,CAUTIOUS,False
1998-11-07,0.64255,0.18999999999999992,0.96785,0.5,0.81,1.0,0.5,0.5299999999999999,COMFORTABLE - Markets can absorb moderate shocks,,fair,0.02673503401360533,0.1382119047619048,improving,CAUTIOUS,False
1998-11-14,0.6152789115646259,0.12000000000000015,0.957952380952381,0.5,0.699,1.0,0.5,0.5299999999999999,COMFORTABLE - Markets can absorb moderate shocks,,fair,-0.02727108843537407,0.046475510204081694,stable,CAUTIOUS,False
1998-11-21,0.6539751700680271,0.17499999999999985,0.9551595238095238,0.5,0.9176666666666666,1.0,0.5,0.5299999999999999,COMFORTABLE - Markets can absorb moderate shocks,,fair,0.03869625850340119,0.07206360544217671,improving,COMFORTABLE,False
1998-11-28,0.6592846938775511,0.22000000000000022,0.9346595238095238,0.5,0.9303333333333333,1.0,0.5,0.5299999999999999,COMFORTABLE - Markets can absorb moderate shocks,,fair,0.005309523809523986,0.04346972789115644,stable,COMFORTABLE,False
